objectid,filename,title,creator,,,date,description,subject,,,,source,,format,,,language
Wear01,2023-38 Dossier - Lane suggestion for table .pdf,2023-38 Dossier,Justin Wear,,,2026,Item Dossier of item owned by Charles Paxton Butler,"Wear, Justin, 2000-present; UNCG",,,,Justin T. Wear,,application/pdf,,,eng
Wear02,2776-3 Dossier .pdf,2776-3 Dossier,Justin Wear,,,2026,Item Dossier of item owned by Thomas Barksdale,"Wear, Justin, 2000-present; UNCG",,,,Justin T. Wear,,application/pdf,,,eng
Wear03,3000-2.pdf, 3000-2 Dossier,Justin Wear,,,2026,Item Dossier of item owned by Ninian Pinckney,"Wear, Justin, 2000-present; UNCG",,,,Justin T. Wear,,application/pdf,,,eng
Wear04,5824 Dossier.pdf,5824 Dossier,Justin Wear,,,2026,Item Dossier of item owned by Richard Leigh,"Wear, Justin, 2000-present; UNCG",,,,Justin T. Wear,,application/pdf,,,eng
Wear05,Dossier 2223-1 and 2.pdf,Dossier 2223-1 and 2,Justin Wear,,,2026,Item Dossier of item owned by Daniel Grant,"Wear, Justin, 2000-present; UNCG",,,,Justin T. Wear,,application/pdf,,,eng
Wear06,Dossier 2597.pdf,Dossier 2597,Justin Wear,,,2026,Item Dossier of Item owned by Silas Stephenson,"Wear, Justin, 2000-present; UNCG",,,,Justin T. Wear,,application/pdf,,,eng
Wear07,Dossier M3513.pdf,Dossier M3513,Justin Wear,,,2026,Item Dossier of item owned by John Blake,"Wear, Justin, 2000-present; UNCG",,,,Justin T. Wear,,application/pdf,,,eng
Wear08,Re MESDA inquiry UNCG Capstone .pdf,Re MESDA inquiry UNCG Capstone,Justin Wear,,,2026,Email To MESDA from Wear,"Wear, Justin, 2000-present; UNCG",,,,Justin T. Wear,,application/pdf,,,eng
Wear09,Re: PArtner Evaluation Form.pdf,Re: PArtner Evaluation Form,Justin Wear,,,2026,Email containing form completed by MESDA curator Lea Lane,"Wear, Justin, 2000-present; UNCG",,,,Justin T. Wear,,application/pdf,,,eng
Wear10,anguage for panel.pdf,anguage for panel,Justin Wear,,,2026,project work,"Wear, Justin, 2000-present; UNCG",,,,Justin T. Wear,,application/pdf,,,eng